id,experience_age_pedagogic,category_qual_cat,class_manager,main_position_cat,main_position,sex,experience_age_other,min_parallel,max_parallel,year,n_unique_subjects,n_unique_parallel,is_critical,studied_in_moscow_any,has_higher_edu,has_prestigious_university,attrition_rate_2022,load_vs_district,school_known,school_size_deviation,buildings_num_filled,pkpp_prog_types_2023,pkpp_total_courses,pkpp_unique_types,is_out_next_year
bb95e2a470,47,первая,0,учитель,Учитель,0,0,7,7,2022,1.0986122886681098,1,False,0.0,1.0,0.0,0.10638297872340426,0.3139944000023233,1,0.33182843054619016,11.0,0.0,0.0,0.0,0
bb95e2a470,47,первая,1,учитель,Учитель,0,0,8,8,2023,1.3862943611198906,1,False,0.0,1.0,0.0,0.10638297872340426,0.3139944000023233,1,0.33182843054619016,11.0,0.0,0.0,0.0,0
bb95e2a470,47,первая,1,учитель,Учитель,0,0,9,9,2024,1.3862943611198906,1,False,0.0,1.0,0.0,0.10638297872340426,0.3139944000023233,1,0.33182843054619016,11.0,0.0,0.0,0.0,1
bb97ed8f45,5,первая,0,учитель,Учитель,0,8,1,6,2022,0.6931471805599453,6,False,1.0,1.0,1.0,0.07865168539325842,-0.010521660451926618,1,-0.2413026829543885,7.0,1.0,3.0,1.0,0
bb97ed8f45,6,первая,0,учитель,Учитель,0,8,2,6,2023,0.6931471805599453,5,False,1.0,1.0,1.0,0.07865168539325842,-0.010521660451926618,1,-0.2413026829543885,7.0,1.0,3.0,1.0,0
bb97ed8f45,7,первая,0,учитель,Учитель,0,8,1,6,2024,0.6931471805599453,6,False,1.0,1.0,1.0,0.07865168539325842,-0.010521660451926618,1,-0.2413026829543885,7.0,1.0,3.0,1.0,1
bba0326f67,7,первая,1,учитель,Учитель,0,0,3,3,2022,1.9459101490553132,1,False,0.0,1.0,0.0,0.07142857142857142,-0.12590181860621474,1,0.3223828388401888,7.0,1.0,3.0,1.0,0
bba0326f67,8,первая,1,учитель,Учитель,0,0,4,4,2023,2.302585092994046,1,False,0.0,1.0,0.0,0.07142857142857142,-0.12590181860621474,1,0.3223828388401888,7.0,1.0,3.0,1.0,0
bba0326f67,9,первая,1,учитель,Учитель,0,0,1,1,2024,2.0794415416798357,1,False,0.0,1.0,0.0,0.07142857142857142,-0.12590181860621474,1,0.3223828388401888,7.0,1.0,3.0,1.0,1
bba6681016,24,не_найдено,0,учитель,Учитель,0,9,5,5,2022,1.6094379124341003,1,False,0.0,1.0,0.0,0.0873015873015873,-0.06535156482632462,1,0.07411080840165221,10.0,1.0,2.0,1.0,0
